ID,Interview.ID,Role,Speaker,Utterance,Line,Stanza,ML.AI.Applications,Limitations.of.ML.AI,Privacy,Human.involvemnt.interaction,Bias..Prejudice..and.Harm,Minimizing.Bias.and.Harm,Assessing.Underlying.Motivations,Trust.Building,Algorithms.and.computational.thinking,Training.and.Testing.Machines.Using.Data
19,AH,Researcher,Researcher 1,I see. And what sort of rules do you base it on? How do you know what to type to sound like an AI agent?,19,1,0,0,0,1,0,0,0,0,0,0
20,AH,Grad Student,Madison,"I mean, that's part of the research, I mean, it's very structured. We're going to have a very strict script because an AI would've a very set amount of things that it would say. So that's part of the training for anyone that we do our experiments with, they have to be trained to literally stick toe to toe to the script because it's not like an AI agent's going to go off script, so.",20,1,1,1,0,0,0,0,0,0,0,0
21,AH,Researcher,Researcher 1,"Very cool. So what sort of, so you're in the research and a little bit of design part of your work, what sort of problems do you deal with when designing these experiments or what sort of problems I guess have you read about then in the research?",21,1,0,0,0,0,1,0,0,0,0,0
22,AH,Grad Student,Madison,"The first part would be just what people perceive, even as AI, something that's come up in a lot of my beginning research, is that what that means is completely different so on. I'll say the term AI, and some people think that they work with it everyday because they have all these automated systems and then some people think it's not going to be AI until it looks like something out of iRobot. So you have a very, there's not a very good definition of when something officially becomes AI and not everyone has that state mental model of what it should be. So that's a big difficulty to overcome when you talk, when you're working at human interaction with those kind of systems.",22,1,1,1,0,1,0,0,0,0,0,0
23,AH,Researcher,Researcher 1,"So if me or somebody else were to ask you, hey, stop you on the street, how would you define AI?",23,1,0,0,0,0,0,0,0,0,0,0
24,AH,Grad Student,Madison,"So for me, the ability to learn is really what separates it from an automated system. Because you can script something and just have it go and it's automated, but that doesn't make it intelligent.",24,1,1,0,0,1,0,0,0,0,0,1
25,AH,Researcher,Researcher 1,Sure.,25,1,0,0,0,0,0,0,0,0,0,0
26,AH,Grad Student,Madison,I think that the ability to learn or change its own code from what it's preset to be is where we start becoming an intelligent system.,26,1,0,0,0,0,0,0,0,0,0,1
27,AH,Researcher,Researcher 1,So then what about machine learning? How would you define machine learning and how in its relation to AI?,27,1,0,0,0,0,0,0,0,0,0,0
28,AH,Grad Student,Madison,"Machine learning is definitely one of the main factors that enables something to do that learning and be adaptable, which is really where I'm starting to look at research wise because in order to adapt and make changes to what it's just set to do, it has to be able to perceive and make inferences about its environment and its interactions. And that's where machine learning and deep learning really come in.",28,1,1,0,0,0,0,0,0,0,0,1
29,AH,Researcher,Researcher 1,"So related to that, either related to the work that you're doing with these sort of, with these mixed AI human teams or even beyond that, what are some current issues or trends that you see in AI or in machine learning?",29,1,0,0,0,0,0,0,0,0,0,0
30,AH,Grad Student,Madison,"I think we're still having a really hard time trying to replicate the human reason, part of what an AI is supposed to learn, because it can perceive certain environmental cues and pick up on new things it hasn't encountered and may inferences off of past [inaudible 00:09:38] but we can't, we are not really at a point where an AI could have any intuitive aspect of its decision making and human reasoning. And I think that inability is what causes a lot of the tension that we see with where the human should be involved in an autonomous agent, like doing something or making a decision because we know it can't replicate that aspect of human reason and learning.",30,1,1,1,0,1,0,0,0,0,0,0
31,AH,Researcher,Researcher 1,Yeah. What do you mean by intuitiveness? What does it mean when humans have intuitive nature that a machine doesn't?,31,1,0,1,0,0,0,0,0,0,0,0
32,AH,Grad Student,Madison,"So I think that based off our past experiences, people are able to develop opinions and feelings about whether something is likely or not that might not be so factually based.",32,1,0,0,0,0,0,0,0,0,0,0
33,AH,Researcher,Researcher 1,"I see, like a gut feeling.",33,1,0,0,0,0,0,0,0,0,0,0
34,AH,Grad Student,Madison,"Yeah. And even just the tendency, like one thing I was discussing in a research project I'm working on right now is that a lot of people didn't trust an AI to work in a risky decision be because they thought it'd be too logical. Like it's going to make a decision based off what the exact probability of something happening is versus what a human in this scenario is probably going to start thinking of the worst case as possible and they may be tangentially probable, but it might be so bad that they're not going to make a decision. And that's part of a human emotional factor that's not going to be replicated by a machine.",34,1,1,1,0,1,1,0,1,1,1,0
35,AH,Researcher,Researcher 1,"Not yet anyway. Okay, great. I'm learning so much by the way. I just [inaudible 00:11:18] you, this is great. Thank you for doing this. So kind of related to that, how do you think these advances in AI and machine learning help us and who do you think in particular it might help?",35,1,0,0,0,0,0,0,1,0,0,0
36,AH,Grad Student,Madison,"And the best thing about being able to utilize AI, especially from where my background is, it's just the ability to look and process so much more and faster than humans are capable of. And I think that'll help from the computer security standpoint immensely because our networks and just our vast space with internet of things and build your own devices is expanding so big that we need those systems in order to analyze the network and protect us from breaches, things like that. And then in other areas it's really important in human AI because we have all these abilities now on our social media or games to make avatars or realistic environments and all these other sort of things that we can really interact with. So a lot of people in my lab work are more in a gaming kind of area and human AI collaboration and that and you can make gaming and learning environments so realistic with AI agents being part of the system. I actually think it could be really beneficial if learning continues on the trend, it's going to be more and more virtual where maybe be there is an AI representation of other classmates or your teacher or things that might kind of bridge the gap between being physically in a building versus isolated in my own house. There might be a middle ground there.",36,1,1,0,1,1,0,1,0,0,1,0
37,AH,Researcher,Researcher 1,Yeah. That's great. Like simulating that environment a little bit closer to what we had in person potentially.,37,1,1,0,0,0,0,0,0,0,0,0
38,AH,Grad Student,Madison,"Yeah. I mean, so like my young son, if we're doing something like virtual learning, he's got to be on virtual learning for that day or that week. It's very difficult for him to pay attention to just a screen for longer than like 10 to 15 minutes. But maybe if it was like a very immersive environment where you had some AI students that were almost collaborating with you, it might be something he could engage in and get a lot more from that environment.",38,1,1,0,0,1,0,0,0,0,0,0
39,AH,Researcher,Researcher 1,"Yeah. Yeah. Maybe in the near future. Okay. So on the opposite end of the spectrum, how do some of the advances in AI or machine learning that you know about, how do they harm us and who in particular do you think they harm?",39,1,0,0,0,0,1,0,1,0,0,0
40,AH,Grad Student,Madison,"I mean, the aspect is so, AI is only as good as the data we give it, things like that. And I think there's a lot of discussion and research right now about a lot of AI being really biased to majorities because that's the data that they have access to. And so there might not be the ability to accurately assess or communicate with minority populations. And it could, I think there's some discussion about it kind of reinforcing biases and stereotypes because it's just operating off of the set of data that it's given.",40,1,0,1,0,1,1,0,0,0,1,1
41,AH,Researcher,Researcher 1,Do you know of any examples?,41,1,0,0,0,0,0,0,0,0,0,0
42,AH,Grad Student,Madison,"We were talking about it a lot in recognition software and things like that, where the data sets that it's usually using to recognize and communicate with people is generally very Western white male and wrongly classifies people and communicates with them as if they were that group, which makes it very difficult for people to not only work but connect to it and get the benefits as so much to some other populations.",42,1,1,1,0,1,1,0,0,1,0,1
43,AH,Researcher,Researcher 1,So in a sense then certain populations who aren't white males are excluded from that.,43,1,0,0,0,0,1,0,0,0,0,0
44,AH,Grad Student,Madison,"Yeah and they just don't feel comfortable working with it and then it becomes like cyclic, right. Because you need the data in order to fix the data, but if those portions of the populations feel boxed out, then you don't get that.",44,1,0,1,0,1,1,1,0,1,0,1
45,AH,Researcher,Researcher 1,"Yeah. So it's like you start with that data set that's not very representative. And then you test it on a not very representative sample because those who aren't representative or represented in the data in the machine don't want to use it. So then you don't end up teaching it to be more inclusive, I guess. Is that right?",45,1,0,1,0,1,1,0,0,0,1,1
46,AH,Grad Student,Madison,"Yeah. It's like everyone's got an Alexa or something like that in their house. And it is vocal recognition software, but if it can't understand you, it can't understand you. So it already has some of that bias in it or it can't understand certain dialects and accents and things like that.",46,1,1,1,0,1,1,0,0,0,0,0
47,AH,Researcher,Researcher 1,"Yeah. Yeah, absolutely. It's getting a little better though. I have a young son too and Alexa is starting to understand him.",47,1,1,0,0,1,0,0,0,0,0,0
48,AH,Grad Student,Madison,"Oh yeah. My son figured out, I guess about a month ago, how to actually tell Alexa how to do things. And now it's hilarious because I have the app on my phone where I can see all the devices and I can see what Alexa, hears him saying.",48,1,1,0,0,1,0,0,0,0,0,0
49,AH,Researcher,Researcher 1,What can I ask? What she thinks he's saying?,49,1,0,0,0,0,0,0,0,0,0,0
50,AH,Grad Student,Madison,"It's usually just missed words. Like he's obsessed with a few different movies and songs as little kids are and it's down to the point where all he has to do is say the word, Alexa Zombies and it knows to play the Disney channel original movie Zombies soundtrack.",50,1,1,1,0,1,0,0,0,0,0,0
51,AH,Researcher,Researcher 1,"Yeah, yeah, yeah, yeah. Definitely. I can relate to that on a personal level. Okay. So then the people who are designing these tools and distributing these AI and ML applications, who would you say, how would you describe that population of people?",51,1,0,0,0,1,0,0,1,0,0,0
52,AH,Grad Student,Madison,"I mean, I know from my experiences that it is very male dominated women make up less than 12% of the AI really working population. I think it is. I think that Western white male for where I'm working from is probably dominant. But I mean, I don't think that, that's globally applicable, I would definitely say male dominated.",52,1,0,1,0,1,1,0,0,0,0,0
53,AH,Researcher,Researcher 1,Yeah. And then do you think that connects them to the types of applications or tools that are being developed?,53,1,0,0,0,1,0,0,0,0,0,0
54,AH,Grad Student,Madison,"Yeah. I mean, I think especially when we talk about the human interaction phases, there's a lot of psychology that goes into whether someone wants to work with a device or not. So there can be some disconnect between the developers and the users a lot of time and that's usually when we see a product not doing well is when the designers think that something is exactly what the users want, but they're disconnected with who their user population actually is. And it might be a very good product, but if you miss that user interface part of it, then no one's going to use it.",54,1,0,1,0,1,0,0,0,1,0,0
55,AH,Researcher,Researcher 1,Yeah. Okay. So any other sort of ethical or social issues that you see using AI or ML that you know about or want to share?,55,1,0,0,0,0,1,0,0,0,0,0
56,AH,Grad Student,Madison,"I mean, I know privacy is always a big issue, especially when you're talking about collecting major data, in order for something to apply or use machine learning. It's got to be collecting a lot of data about environment and people it's working with. So you have people who are comfortable sharing different levels of information and different levels of being information collected about them. And then also if you have an agent like that constantly collecting data, wherever it's working or interacting, there's the concept of like, okay, at what point do you require people to be like, oh, where this is going on and happening and require some sort of consent versus like it's just, it's so ubiquitous that everybody just knows it's going on. There's probably a tipping point somewhere there, but I think that are long ways off from that. So I think the privacy concerns are going to be pretty, pretty important.",56,1,1,0,1,1,0,0,0,1,0,1
57,AH,Researcher,Researcher 1,Definitely. Yeah. Okay. So just shifting a little bit. This is more directly related to some of the work that we do in my lab. What are your thoughts about youth learning about artificial intelligence or machine learning even as young as elementary or middle school?,57,1,0,0,0,1,0,0,0,0,1,0
58,AH,Grad Student,Madison,"I think it's super important because it teaches you a lot about just logic thinking. So, I mean, if you start looking at how AI is designed or learned, it's very, there's a lot of logical flows and a little bit more about coding and it's almost its own language. And actually the younger, we can start that the better. Kids pick up. It's like what we discovered about foreign languages way too late was that we were starting teaching people way too late. I think it's the same when we start talking about coding and machine learning, the earlier we can start the more natural those language processes come to kids.",58,1,1,0,0,1,0,0,0,0,1,0
59,AH,Researcher,Researcher 1,"Yeah. As, so as someone who works so closely with AI, can you imagine an elementary school student or a middle schooler or even younger than that, what sort of, how could you break that down? Like AI or machine learning to get them kind of exposed to that?",59,1,0,0,0,0,0,0,0,0,1,0
60,AH,Grad Student,Madison,"I think it can start with simple games like when we start teaching kids to code, there's MIT developed scratch and very visual, game way of doing it. And I think you'd definitely start in a similar way by teaching them, just make a game to teach what you want it to do through logical representations. And they can build something that looks and dresses how they want and you name it and they make a connection to it.",60,1,1,0,0,1,0,0,0,0,1,0
61,AH,Researcher,Researcher 1,Any sort of core concepts you think you would include or could be included or could be kind of broken down for kids specifically?,61,1,0,0,0,0,0,0,0,0,0,0
62,AH,Grad Student,Madison,"Yeah. I think you start very simply with the state logic that defines most AI systems because that not only school teach them about how the AI system functions, but also just a lot about very basic decision and logic trees, which is important for kids to understand. So I think really starting from that, if this, then this or this kind of breakdown.",62,1,0,0,0,1,0,0,0,0,1,0
63,AH,Researcher,Researcher 1,Like some branches or like trees that kind of statement.,63,1,0,0,0,0,0,0,0,0,0,0
64,AH,Grad Student,Madison,"Starting with logic trees and then some state machine logic, things like that.",64,1,0,0,0,0,0,0,0,0,1,0
65,AH,Researcher,Researcher 1,"Okay, great. And then, so related to what we were talking about, what about ethical or social issues that we discussed or even beyond that maybe we haven't discussed, how would you, what are your thoughts about youth learning about that in conjunction with AI and ML?",65,1,0,0,0,0,1,0,0,0,1,0
66,AH,Grad Student,Madison,"Yeah, I think that part of that's going to be more important for our kids and we ever thought just because I think the average now for a kid to get a cell phone is 10, which is mind boggling to me, but that's the statistic and that's just going to keep getting younger as it's becomes more and more. And then they're using tablets and everything in schools and all that. So understanding that things that collect data, create privacy concerns, they have to consider the people around them to include AI, I think will be definitely a necessary part of elementary education.",66,1,0,0,1,1,0,1,0,0,0,0
67,AH,Researcher,Researcher 1,"Yeah, absolutely. Kids are getting Chromebooks in second grade now. The schools are distributing. We just talked about our children, interacting with Alexa that's a intelligent system, so.",67,1,1,0,0,0,0,0,0,0,0,0
68,AH,Grad Student,Madison,I would go in and make sure all abilities to purchase anything were turned off of every device in my house and...,68,1,0,0,0,0,0,0,0,0,0,0
69,AH,Researcher,Researcher 1,Yes.,69,1,0,0,0,0,0,0,0,0,0,0
70,AH,Grad Student,Madison,Things like that.,70,1,0,0,0,0,0,0,0,0,0,0
71,AH,Researcher,Researcher 1,"Yeah, I learned that a little bit the hard way, but just one mistake and then we fixed it. Okay, great. So imagining it sounds like you think it is important to teach kids about both those things like AI concepts, but also maybe some of the ethics around privacy and other issues and maybe getting more important as the years go on. Do you know of or can you think of any specific tools or activities or ways to engage youth in both of those things?",71,1,0,0,0,0,0,0,0,0,1,0
72,AH,Grad Student,Madison,"For kids, especially younger, the more tactile they can get on anything the better and the more able they are to really pay attention. So just if we can make physical representations of those trees and the logic and things that move to the better. So one of my sons teach preschool teacher, they have were teaching them shapes and they have like shaped man who gets on the floor and they put them all the pieces together to make shapes and patterns and things. You can do the same thing with logic trees and decision making and then even understanding things like privacy, where you know how far something spreads or what you're taking. So just the more tactile you can really make something for kids at that age the better.",72,1,0,0,1,0,0,0,0,0,1,0
73,AH,Researcher,Researcher 1,"Yeah, that's great. And then last one kind of related to that. Can you think of ways then to help them connect these topics to their everyday lives and make it meaningful for them?",73,1,0,0,0,0,0,0,0,0,0,0
74,AH,Grad Student,Madison,"I think it's going to be a lot easier than we think just because they're so ingrained in the technology itself. My daughter is just about to turn one and she can already swipe on a tablet because she's watches her brother swipe on a tablet. And I think just those simple movement to think, they're going to be so more used to it than we are getting used to it. I don't think it'll be that much of a stretch just relating it to the devices they already use or have , I mean, even Alexa is a type of AI, because it does learn things about you, it learns to pick up your voice and your inflections and specific words and what you like. So, I mean just being able to talk about the everyday devices that they use is going to be easy for them.",74,1,1,0,0,0,0,0,0,0,0,0
75,AH,Researcher,Researcher 1,"Yeah, yeah. And then what about young kids? Do you think they're interested or can relate to those ethical issues or social issues that we discussed like non-representive data sets or....",75,1,0,0,0,0,1,0,0,0,0,0
76,AH,Grad Student,Madison,"Yeah, I mean, I just have to be broad as close to them as they can like little things like, hey, you can't turn on this device in your sister's room and listen, because there's a privacy implication there. Just don't make it about huge asylum impact. It's got to be close ecosystems to themselves.",76,1,1,0,1,0,1,1,0,0,1,0
77,AH,Researcher,Researcher 1,"Personal. Yeah, yeah. I think we have similar lives. I also have a one year old daughter and a four old son.",77,1,0,0,0,0,0,0,0,0,0,0
78,AH,Grad Student,Madison,"Oh yeah, close. I have a one year old and a three year old.",78,1,0,0,0,0,0,0,0,0,0,0
79,AH,Researcher,Researcher 1,"Yeah, yeah. Pretty close. Yeah, so when you're talking about her swiping, she does similar things, very happy with the technology. She barely talks. She's about maybe 10 words and one of them is Alexa. She walks around screaming, Alexa, Alexa. Okay, great. What about if you've had experiences, the last question really, experiences teaching or been in situations where you're the student, have your teachers or have you used any learning techniques that you feel were helpful to learn some of these ideas?",79,1,1,0,0,0,0,0,0,0,0,0
80,AH,Grad Student,Madison,"So the biggest thing that comes to mind in terms of just learning the logic patterns that are behind these is, I had a class, it was my only EE class. I absolutely hated it. And I would not have made it through if my husband didn't have to be an electrical engineer, where we had to program a Roomba so that it would go and park somewhere. And we had to develop this state machine logic that would do that and then program everything. But I think, yeah, hands on activities like that you're going to program a Roomba and watch it do it or a remote control car or something like that. Something what we can physically see the effects of what they've created is really helpful.",80,1,1,0,0,1,0,0,0,0,1,0
81,AH,Researcher,Researcher 1,"Yeah. I think that's absolutely right. We sort of, we run a couple of pilots with some kids and we learn that very quickly that they love robots. They want to take what they're doing on the screen and see it in real life and see that connection. And so I think that's absolutely right. Especially with young kids. That tactile piece that physical computing I think is really important.",81,1,1,0,0,1,0,0,0,0,1,0
82,AH,Grad Student,Madison,"Yeah and it gives them, I mean, little bit older geeks might get a good jump of satisfaction out of their code compiling, but for kids, they need to see something more. So, oh my code made it do this and it can go there now is a lot better ever win.",82,1,1,0,0,1,0,0,0,0,1,0
83,AH,Researcher,Researcher 1,"Yeah, exactly. And I can run over my sister or we can have a race it's like integrating that into their everyday fun.",83,1,0,0,0,0,0,0,0,0,0,0
84,AH,Grad Student,Madison,Yeah.,84,1,0,0,0,0,0,0,0,0,0,0
85,AH,Researcher,Researcher 1,"Okay. Great. Well, thank you so much. Is there anything else you want to add that we didn't touch on?",85,1,0,0,0,0,0,0,0,0,0,0
86,AH,Grad Student,Madison,"I can't think of anything, but if you have any additional questions, feel free to wrap it up.",86,1,0,0,0,0,0,0,0,0,0,0
87,AH,Researcher,Researcher 1,"Okay. You so much, this was super helpful. I really enjoyed talking with you. And again, this is really helpful for our research. So thank you for taking the time out to talk with us.",87,1,0,0,0,0,0,0,0,0,0,0
88,AH,Grad Student,Madison,No problem. Have a great day.,88,1,0,0,0,0,0,0,0,0,0,0
89,AH,Researcher,Researcher 1,Okay. Thanks. Bye Allyson.,89,1,0,0,0,0,0,0,0,0,0,0
90,AH,Grad Student,Madison,Bye.,90,1,0,0,0,0,0,0,0,0,0,0
1,JM,Researcher,Researcher 1,"Okay. Hello, Joe. This is Joe Michaelis. This is Friday, January 28th, 2022. So I'm just going to get right into it. Joe, can you tell me about your professional background and a little bit about your work history?",1,2,0,0,0,0,0,0,0,0,0,0
2,JM,Faculty,Michael,"Sure. Yeah. Currently an assistant professor in computer science and learning sciences at University of Illinois, Chicago. The work I do is in social robots for educational purposes that are designed as learning companions, where they work with or around kids to help them learn in lots of different scenarios. My training with it is... My PhD's in learning sciences from University of Wisconsin, but I have a PhD minor in computer science where I did a lot of human robot interaction work. So I'm trained on the HR, the design of the robots and the interactions, and on learning and learning theory. And so the combination of those two is to design learning interactions for kids to really enhance their learning experiences.",2,2,1,0,0,1,0,0,0,0,1,0
3,JM,Researcher,Researcher 1,And what sort of technology or programming do you use for these robots or have you been using? Do you use artificial intelligence or machine learning?,3,2,0,0,0,1,0,0,0,0,1,0
4,JM,Faculty,Michael,"A bit. Yeah. So the primary ones that I'd say we use is... I mean, my mine is often fringe machine learning AI, and often dumb versions of what could be construed as AI, because my work a lot of times is really interested in the interactions and not so much the technological solutions to automating those things. So we do a lot of work that uses text-to-speech, which I would definitely put in the AI natural language processing camp. And in that, one of the real challenges is in balancing the automated portion of it. It's nearly impossible to get the speech exactly right. And so we debate a lot about how much time and energy to put into adding in markup language, things that can edit the [profidy 00:02:19] and that sort of stuff of the output versus just taking what we get. And so what that means in our workflow is that if we preset everything, if we know everything exactly that the robot's going to say, then we can prerecord all the audio, and then we can review it and make sure we massage and finesse it. But if we want the robot to be more spontaneous where it's generating the audio in the field, we don't have that opportunity to correct or even review what's going on with these things. So you'd mentioned the ethical and social aspects of those things. That's one of my big concerns is when we use these off-the-shelf technologies without any human in the loop, that bad things on a low level just might make it seem confusing or just inauthentic. But it could also be pretty problematic the way that it comes across or even if we're auto-generating what's to be said, if there's even a syntax error in those things, then it comes through.I had one during my early grad work where we were trying to insert the student's name into the speech that the robot said, and this was all automatically processed. I didn't prerecord anything. And we screwed up the syntax on it. And so it ended up actually reading the markup code that we had in there. It'd be like, ""Hello, ate our open bracket, closed bracket,"" And had all these weird things that it said. And I was really happy that I caught that before we put it in the field because that's the sort of thing that it's nightmare fuel. Because again, I work with some youngish kids. They're 9 and 10. And so the last thing I want to do is scar them with this berserk-seeming robot. So yeah. So I think the text-to-speech is probably the primary one that I use on a daily basis.We're developing techniques then... Again, one of the things we want to do is try to automate some of what the robot says because the human part of it is so labor-intensive. So we're working on some techniques to use the real modern advances in tech summary are really helpful and pretty good now where I'm working on the homework utilities so the teachers can make homework assignments for kids that a robot would read to them. I think that's the one that you were going to be on the board for. So the idea there though, and when we're talking to teachers, they're like, ""This sounds great. I really love the idea, but I really need a lot of automation in here,"" that if they're going to go through and hand-write out everything the robot's going to say they just can't. So we're looking at doing some auto-tech summaries where they can bring in a PDF or a website of something that they want the kids to read at home for their class and then just say, ""Summarize this portion for the kids. And I want the robot to say that summary."" So that's the next level for us. And so again, we still have the text-to-speech problems in there where we're not going to have much control over the profidy and the way that it's delivered, but we'll also not have too much control over the actual contents of what's generated there. So we're working on methods to try to do pre-review things. So in the pipeline where the teacher maybe selects, summarize this portion and submits it before it actually gets out to a student, that we'd be able to have some sort of human review over that just to make sure it makes sense. And there's other automated reviewing techniques that are out there. I haven't looked at them in detail, but they're out there too.So that's, I think the one that is currently working on. And then the last one that comes to mind is I've always used OpenCV for facial recognition. And then we use that for face tracking. So all of my robots have been able to track the speaker by taking that essentially, just putting an X, Y position on the center of a face and then aligning motors to be where the robots face appears to be looking at the person. Probably the biggest one we haven't gotten into, the Misty robot that I have uses SLAM mapping. So it can do navigation in a home pretty simply. And that's an option. We just haven't chosen to do any mobile robot stuff in people's homes. It seems like one of the last things I want to work on.",4,2,1,1,0,1,1,1,0,1,1,1
5,JM,Researcher,Researcher 1,What is SLAM mapping?,5,2,0,0,0,0,0,0,0,0,0,0
6,JM,Faculty,Michael,"Oh yeah. Sorry. Simultaneous Location and Mapping. So it will essentially... and the more advanced Roombas, they do this too, right, where they'll just roam around and map out the space, and then the robot will be able to situate itself within that space so it can be intelligent about how it navigates around. But so far we haven't had any locomotion for robots in homes, again because of ethical and privacy concerns where if something goes wrong, I really don't want my robot to roll into the bathroom or just make people feel uncomfortable in their home. I think all the good things I'm trying to do will be totally undermined by a robot creeping people out. And it's also I think ethically the right thing to do to not have an opportunity to freak people out that way. So the robots I work with have that capability, and it's part of what makes them expensive, but I don't take advantage of it at all, other than the one robot I use for demonstrations in the lab. It's mapped out and does location sensing. And so it can follow me around and I have a few places around the lab that it knows to go. So just to impress people, I'd be like, ""Hey, Timmy, go to the table."" And it'll wander over to the table and people are like, ""Wow, that's [inaudible 00:08:28]."" Not really, but okay.",6,2,1,0,1,1,1,1,0,1,1,0
7,JM,Researcher,Researcher 1,"Well, okay. So you've already touched on some potentially ethical issues with the location sensors, going into more private areas, potentially if for some reason the algorithm does that. And then you also talked about it with the speech-to-text, just some errors there that can impact your work. With all the different technologies you just referred to, are there other social or ethical problems that you come across with your technologies, like the facial recognition or just the child interacting with the speech-to-text or anything?",7,2,1,1,1,0,1,0,0,0,1,0
